line_number,kind,column,raw_value,output_value,reason
3881,field_failed,email,mallory.mooreexample.org,mallory.mooreexample.org,email must contain exactly one @
3890,field_failed,CustomerID,,,CustomerID is required
3896,field_failed,email,grace..nelson@example.org,grace..nelson@example.org,email must not contain consecutive dots
3897,field_failed,email,hana..king6578@example.org,hana..king6578@example.org,email must not contain consecutive dots
3902,field_failed,email,mvrsvgtw-nghshaxnt5995example.org,mvrsvgtw-nghshaxnt5995example.org,email must contain exactly one @
3907,field_failed,email,bob..adams@mail.test,bob..adams@mail.test,email must not contain consecutive dots
3946,field_failed,email,oqyag..zdnqtpxg7681@example.com,oqyag..zdnqtpxg7681@example.com,email must not contain consecutive dots
3959,field_failed,email,543.427.8796,543.427.8796,email must contain exactly one @
3959,field_failed,phone,olivia.jackson @ demo.local,,phone number must have 7 to 15 digits
3962,field_failed,email,niaj.young554example.net,niaj.young554example.net,email must contain exactly one @
3967,field_failed,email,692-507-0879,692-507-0879,email must contain exactly one @
3967,field_failed,phone,carol.thompson@mail.test,,phone number must have 7 to 15 digits
3969,field_failed,email,fyjhl.xivwtsexample.net,fyjhl.xivwtsexample.net,email must contain exactly one @
3975,field_failed,CustomerID,,,CustomerID is required
3979,field_failed,email,steve.youngexample.net,steve.youngexample.net,email must contain exactly one @
3985,field_failed,email,alice.perezdemo.local,alice.perezdemo.local,email must contain exactly one @
3996,field_failed,CustomerID,,,CustomerID is required
3997,field_failed,email,yvonne..thompson@mail.test,yvonne..thompson@mail.test,email must not contain consecutive dots
4027,field_failed,email,mika..johnson@example.net,mika..johnson@example.net,email must not contain consecutive dots
4061,field_failed,email,niajking@example..org,niajking@example..org,email must not contain consecutive dots
4086,field_failed,email,carol.kingexample.org,carol.kingexample.org,email must contain exactly one @
4091,field_failed,email,ryo.thomasexample.org,ryo.thomasexample.org,email must contain exactly one @
4097,field_failed,CustomerID,,,CustomerID is required
4100,field_failed,email,oscar..brown@demo.local,oscar..brown@demo.local,email must not contain consecutive dots
4118,field_failed,status,??,??,unsupported status value
4125,field_failed,status,??,??,unsupported status value
4129,field_failed,CustomerID,,,CustomerID is required
4160,field_failed,CustomerID,,,CustomerID is required
4170,field_failed,email,hbsoomx..uzmcw3616@example.net,hbsoomx..uzmcw3616@example.net,email must not contain consecutive dots
4177,field_failed,email,gffisl.djwvupllmail.test,gffisl.djwvupllmail.test,email must contain exactly one @
4215,row_skipped,__row__,// stale row below was never deleted by upstream export,,non-data line
4216,row_malformed,__row__,"CUST050009,""Broken Quote,jq@example.com,555-0000,""8 Quote St"",Boston,MA,02110,United States,1989-01-01,2024-01-01,2024-02-02,active,silver,en,1,77.77,1,unmatched quote in second column",,expected 19 columns but found 16
4243,field_failed,status,??,??,unsupported status value
4249,field_failed,email,yuki..jones@demo.local,yuki..jones@demo.local,email must not contain consecutive dots
4263,field_failed,email,pchoot-mxxsjofg@example..com,pchoot-mxxsjofg@example..com,email must not contain consecutive dots
4284,field_failed,status,??,??,unsupported status value
4289,field_failed,email,fyukva.jqbha7510example.org,fyukva.jqbha7510example.org,email must contain exactly one @
4290,field_failed,CustomerID,,,CustomerID is required
4307,field_failed,CustomerID,,,CustomerID is required
4321,field_failed,email,judy_scottdemo.local,judy_scottdemo.local,email must contain exactly one @
4324,field_failed,status,??,??,unsupported status value
4328,field_failed,status,??,??,unsupported status value
4344,field_failed,CustomerID,,,CustomerID is required
4372,field_failed,email,oliviaanderson@example..net,oliviaanderson@example..net,email must not contain consecutive dots
4387,field_failed,status,??,??,unsupported status value
4391,field_failed,email,05-2995-36666,05-2995-36666,email must contain exactly one @
4391,field_failed,phone,nnkffcee.uqsdk@demo.local,,phone number must have 7 to 15 digits
4393,field_failed,email,886.493.5535,886.493.5535,email must contain exactly one @
4393,field_failed,phone,yuki.adams@example.net,,phone number must have 7 to 15 digits
4416,field_failed,email,106.115.7326,106.115.7326,email must contain exactly one @
4416,field_failed,phone,rutagxbp.lpsfpzwxau@mail.test,,phone number must have 7 to 15 digits
4422,field_failed,email,judy.wilson2012example.com,judy.wilson2012example.com,email must contain exactly one @
4437,field_failed,CustomerID,,,CustomerID is required
4438,field_failed,CustomerID,,,CustomerID is required
4444,field_failed,email,yghzdafj..qiewccfdx@example.com,yghzdafj..qiewccfdx@example.com,email must not contain consecutive dots
4448,field_failed,email,trudy..martin@demo.local,trudy..martin@demo.local,email must not contain consecutive dots
4450,field_failed,email,jklmkic..chdqk@demo.local,jklmkic..chdqk@demo.local,email must not contain consecutive dots
4478,field_failed,email,odcb.omqfiyyfywexample.net,odcb.omqfiyyfywexample.net,email must contain exactly one @
4499,field_failed,CustomerID,,,CustomerID is required
4499,field_failed,email,trudyscott9113@demo..local,trudyscott9113@demo..local,email must not contain consecutive dots
4503,field_failed,email,paqtt_osmqut@mail..test,paqtt_osmqut@mail..test,email must not contain consecutive dots
4508,field_failed,CustomerID,,,CustomerID is required
4519,field_failed,email,mhlafhlo.ikjextaekdemo.local,mhlafhlo.ikjextaekdemo.local,email must contain exactly one @
4526,field_failed,status,??,??,unsupported status value
4536,field_failed,CustomerID,,,CustomerID is required
4549,field_failed,email,mbfsjp..vozfhsegec@example.com,mbfsjp..vozfhsegec@example.com,email must not contain consecutive dots
4567,field_failed,CustomerID,,,CustomerID is required
4571,field_failed,status,??,??,unsupported status value
4584,field_failed,email,aysc..fiszjbgdw@demo.local,aysc..fiszjbgdw@demo.local,email must not contain consecutive dots
4586,field_failed,status,??,??,unsupported status value
4596,field_failed,email,krpeeh.uncogylhxexample.com,krpeeh.uncogylhxexample.com,email must contain exactly one @
4600,field_failed,email,bthqjyvwu@mail..test,bthqjyvwu@mail..test,email must not contain consecutive dots
4601,field_failed,CustomerID,,,CustomerID is required
4604,field_failed,CustomerID,,,CustomerID is required
4611,field_failed,email,(608) 017-7159,(608)017-7159,email must contain exactly one @
4611,field_failed,phone,walter.adams@demo.local,,phone number must have 7 to 15 digits
4636,field_failed,email,wendy.greenexample.org,wendy.greenexample.org,email must contain exactly one @
4640,field_failed,email,grace.greenexample.net,grace.greenexample.net,email must contain exactly one @
4645,field_failed,email,tjntjv.wqyhdimail.test,tjntjv.wqyhdimail.test,email must contain exactly one @
4670,field_failed,CustomerID,,,CustomerID is required
4688,field_failed,CustomerID,,,CustomerID is required
4709,field_failed,email,ryo_garciamail.test,ryo_garciamail.test,email must contain exactly one @
4719,field_failed,email,+81 80 0724 6179,+818007246179,email must contain exactly one @
4719,field_failed,phone,sdvvhzvb.wmxcydt@example.org,,phone number must have 7 to 15 digits
4752,field_failed,email,bob.thomasexample.com,bob.thomasexample.com,email must contain exactly one @
4766,field_failed,email,+81-90-7454-8029,+81-90-7454-8029,email must contain exactly one @
4766,field_failed,phone,zara.andersonexample.com,,phone number must have 7 to 15 digits
4784,field_failed,CustomerID,,,CustomerID is required
4803,field_failed,email,bob..green@example.net,bob..green@example.net,email must not contain consecutive dots
4813,field_failed,email,trudy-andersonexample.com,trudy-andersonexample.com,email must contain exactly one @
4817,field_failed,CustomerID,,,CustomerID is required
4820,field_failed,email,trudy..allen@mail.test,trudy..allen@mail.test,email must not contain consecutive dots
4833,field_failed,email,victor_allen@mail..test,victor_allen@mail..test,email must not contain consecutive dots
4835,field_failed,email,+81-90-3060-1196,+81-90-3060-1196,email must contain exactly one @
4835,field_failed,phone,leuwrhq-wcnrv3014@example.com,3014,phone number must have 7 to 15 digits
4849,field_failed,CustomerID,,,CustomerID is required
4875,field_failed,email,wendy.jacksondemo.local,wendy.jacksondemo.local,email must contain exactly one @
4880,field_failed,email,walter..davis@example.net,walter..davis@example.net,email must not contain consecutive dots
4886,field_failed,email,bob.smithexample.org,bob.smithexample.org,email must contain exactly one @
4899,field_failed,status,??,??,unsupported status value
4901,field_failed,email,exlewyz..hvykn@demo.local,exlewyz..hvykn@demo.local,email must not contain consecutive dots
4966,field_failed,email,heidi..davis@mail.test,heidi..davis@mail.test,email must not contain consecutive dots
4985,field_failed,email,heidi..thompson@example.com,heidi..thompson@example.com,email must not contain consecutive dots
5016,field_failed,email,dnmtv..oknwibw@example.org,dnmtv..oknwibw@example.org,email must not contain consecutive dots
